L0,L1,R0,R1
334, 428, 312, 478
359, 521, 328, 476
369, 582, 315, 492
371, 572, 338, 580
379, 576, 350, 674
341, 549, 346, 669
361, 555, 372, 676
360, 505, 352, 677
343, 525, 340, 621
378, 559, 343, 612
364, 562, 333, 607
340, 516, 329, 548
365, 558, 352, 625
361, 583, 361, 687
362, 579, 345, 695
390, 619, 386, 738
370, 574, 370, 707
398, 586, 338, 593
394, 607, 342, 555
351, 554, 339, 635
381, 569, 384, 690
357, 537, 365, 647
373, 565, 359, 624
374, 651, 376, 651
435, 679, 392, 709
417, 689, 376, 665
387, 636, 351, 587
395, 672, 337, 574
396, 651, 337, 524
